11	238049.988198
11	285381.946166
11	299160.99386
12	320619.574207
12	295349.681942
12	206485.502902
1	310558.049441
1	623189.467556
1	592051.387369
2	534810.828099
2	629909.983172
2	464393.828618
3	734075.92785
3	708150.865591
3	810272.013466
4	1631882.00076
4	2141234.4144
4	1332492.00527
5	701806.744116
5	404573.147151
5	306119.657401
6	420147.420126
6	258909.026663
6	384414.734841
7	558971.701944
7	214484.238905
7	363578.724758
8	212967.174416
8	440322.549316
8	299824.727953
9	254213.466869
9	179995.485401
9	173050.099674
10	405216.868605
10	407654.850307
10	462791.996037
11	515607.463528
11	591868.780613
11	420161.158542
